cluster;0
3;68704.0
4;43507.0
5;59580.0
6;68019.0
10;68605.0
12;68744.0
16;67063.0
17;63232.0
18;67605.0
19;67885.0
29;59646.0
31;57545.0
32;63663.0
35;64314.0
36;60147.0
37;60147.0
43;66982.0
44;68043.0
45;66965.0
48;68553.0
52;65503.0
53;67356.0
55;68605.0
56;57186.0
58;43530.0
59;57499.0
60;66226.0
66;63197.0
67;62873.0
68;51670.0
69;53382.0
71;52377.0
72;61046.0
74;42241.0
75;52987.0
76;56754.0
77;32443.0
82;58050.0
83;60120.0
85;23979.0
86;22857.0
88;60920.0
89;63212.0
90;17859.0
91;62522.0
