cluster;0
2;67866.0
3;68700.0
4;67357.0
5;68306.0
6;67974.0
10;68598.0
11;67192.0
12;68747.0
14;67667.0
16;67112.0
17;67333.0
18;67660.0
19;67857.0
21;65157.0
29;50909.0
31;49100.0
32;63607.0
35;64331.0
36;60161.0
37;60111.0
41;68653.0
43;67383.0
44;68014.0
45;67030.0
48;68568.0
50;67317.0
52;65103.0
53;67375.0
54;67842.0
55;68600.0
56;65778.0
58;59792.0
59;57407.0
60;66164.0
66;63163.0
67;62793.0
68;59711.0
69;53334.0
70;55841.0
71;52310.0
72;61054.0
74;57007.0
75;53171.0
76;56773.0
77;57787.0
82;58659.0
83;58702.0
85;23797.0
86;15233.0
88;60674.0
89;63018.0
90;17786.0
91;62426.0
