;Latitude;Longitude;cluster
253;48.666;8.948;1
254;51.28;12.4;53
255;53.688;10.078;-1
256;50.544;9.642;-1
257;49.59;11.03;44
258;53.596;22.52;-1
259;52.514;12.642;-1
260;52.578;8.138;-1
261;52.202;5.996;28
262;51.436;6.774;18
263;52.524;13.548;-1
264;53.102;18.034;75
265;49.042;8.002;-1
266;49.768;18.302;-1
267;49.136;10.366;-1
268;53.57;9.964;48
269;52.102;20.614;72
270;53.73;10.01;-1
271;49.14;9.234;-1
272;48.114;11.63;12
273;51.94;8.432;41
274;54.314;10.022;49
275;51.102;6.848;-1
276;52.314;7.938;-1
277;52.502;13.354;-1
278;53.566;9.98;48
279;52.219734;8.809229;41
280;52.46;13.322;-1
281;49.03;12.1;13
282;51.582;7.038;19
283;51.724;23.09;-1
284;50.948;11.092;-1
285;52.49;13.434;-1
286;50.754;3.366;-1
287;53.59;10.004;47
288;53.198;6.592;38
289;49.012;8.37;2
290;54.092;12.122;-1
291;51.468;6.762;18
292;53.046;8.656;50
293;54.132;17.968;76
294;53.238;10.448;-1
295;51.046;6.98;-1
296;48.148;7.704;10
297;52.074;5.126;27
298;47.494;9.718;-1
299;52.464;13.414;-1
300;49.806;11.032;44
301;48.542;12.27;-1
302;49.142;9.232;-1
303;52.102;8.084;-1
304;49.42;8.39;3
305;53.072;8.826;50
306;50.956;9.786;45
307;50.228;9.112;-1
308;52.39;9.724;42
309;48.156;11.53;12
310;51.454;6.718;18
311;53.068;8.86;50
312;49.932;11.592;-1
313;54.818;9.666;-1
314;50.216;7.912;-1
315;52.522;13.345;-1
316;51.612;12.302;53
317;52.1769;8.829951;41
318;51.020615;6.128022;21
319;50.81;12.54;-1
320;48.732;10.266;-1
321;48.77;11.446;-1
322;50.406;6.884;-1
323;52.472;6.932;-1
324;49.002;8.392;2
325;48.204;11.61;12
326;52.378;9.688;42
327;52.498;13.442;58
328;42.686;23.364;79
329;42.338;23.552;-1
330;42.204;24.686;80
331;42.72;23.252;-1
332;42.67;23.354;79
333;42.736;23.346;-1
334;42.734;24.258;-1
335;43.198;27.916;81
336;49.004;8.47;2
337;53.524;9.846;-1
338;50.862;4.338;-1
339;44.646;10.924;-1
340;48.736;9.332;-1
341;48.272;14.526;56
342;53.32;8.672;50
343;50.846;4.078;-1
344;51.882;6.916;-1
345;50.868;4.18;-1
346;50.922;4.76;33
347;50.832;4.374;34
348;48.986;9.578;-1
349;50.826;4.33;-1
350;47.494;7.608;10
351;49.594;10.964;44
352;51.004;4.298;-1
353;48.762;8.996;1
354;50.86;4.376;34
355;50.86;4.376;34
356;52.754;13.04;-1
357;50.956;4.64;33
358;46.476;7.134;-1
359;47.942;9.442;-1
360;51.232;9.42;45
361;41.978;21.476;82
362;49.43;8.642;3
363;49.468;11.044;44
364;51.518;9.864;-1
365;50.742;4.224;-1
366;50.742;4.226;-1
367;52.198;9.89;-1
368;48.132;8.518;-1
369;50.154;8.198;6
370;50.85;12.928;54
371;52.124;5.196;27
372;52.124;5.196;27
373;49.968;19.844;70
374;53.476;9.318;-1
375;52.138;-0.45;-1
376;49.012;12.112;13
377;50.664;4.564;-1
378;51.582;5.016;-1
379;53.686;9.158;-1
380;51.528;7.653;-1
381;50.072;9.002;-1
382;51.566;9.234;-1
383;36.536;23.064;-1
384;50.674;4.616;-1
385;47.504;8.248;9
386;48.854;9.302;-1
387;52.532;13.328;57
388;45.818;12.896;-1
389;48.764;9.172;0
390;52.928;10.522;-1
391;48.176;16.316;60
392;52.206;20.964;72
393;50.936;6.978;16
394;52.508;13.236;-1
395;50.124;8.582;5
396;53.556;9.868;-1
397;52.502;13.496;-1
398;51.523;7.524;-1
399;51.092;6.828;17
400;48.524;9.04;-1
401;49.084;8.646;2
402;50.854;12.902;54
403;53.184;8.218;51
404;52.02;5.188;27
405;49.242;7.006;-1
406;49.542;8.444;3
407;53.636;10.012;-1
408;52.548;13.408;-1
409;48.154;11.514;12
410;52.532;13.348;-1
411;54.4;18.412;76
412;48.398;10.698;11
413;51.218;3.452;-1
414;51.458;12.454;53
415;50.288;10.924;44
416;48.727;9.3;-1
417;52.492;13.388;-1
418;53.096;8.802;50
419;51.83;7.294;-1
420;48.0;9.654;-1
421;51.976;7.594;-1
422;52.968;8.844;50
423;42.066;24.742;80
424;42.6;23.398;-1
425;43.206;23.55;-1
426;52.532;13.399;-1
427;43.2;23.55;-1
428;50.966;5.814;21
429;53.198;6.57;38
430;42.702;23.314;-1
431;50.976;4.542;-1
432;52.032;5.298;27
433;52.538;13.4;-1
434;52.472;21.028;72
435;49.054;9.348;-1
436;54.514;18.532;76
437;51.356;12.458;53
438;53.734;10.282;-1
439;48.878;8.34;2
440;51.276;7.116;-1
441;49.314;10.748;44
442;51.052;3.708;36
443;47.97;7.83;10
444;48.276;14.444;56
445;52.556;13.394;-1
446;50.14;8.138;6
447;50.682;18.51;69
448;48.74;9.306;-1
449;48.834;10.088;-1
450;52.37;13.314;-1
451;51.016;3.72;36
452;53.356;-1.504;86
453;51.528;6.748;18
454;47.552;7.606;10
455;50.306;8.57;5
456;47.052;15.41;59
457;51.842;5.858;-1
458;52.2;21.052;72
459;51.276;6.39;-1
460;50.92;12.238;-1
461;52.54;13.42;-1
462;51.712;8.754;41
463;53.55;10.018;48
464;48.424;11.258;11
465;42.714;23.274;-1
466;53.582;9.712;-1
467;51.056;3.732;36
468;51.068;3.748;36
469;51.076;3.714;36
470;47.976;7.824;10
471;50.848;3.272;37
472;50.942;4.028;-1
473;51.002;4.786;33
474;50.868;4.38;34
475;52.46;13.528;-1
476;48.228;7.776;10
477;50.874;3.656;36
478;51.358;6.744;18
479;47.162;9.806;-1
480;51.104;3.712;36
481;50.836;3.266;37
482;52.512;13.424;-1
483;51.128;14.178;55
484;51.908;7.662;-1
485;51.488;7.146;20
486;48.432;10.886;11
487;50.102;19.964;70
488;51.516;9.944;-1
489;51.02;6.128;21
490;42.678;23.288;78
491;49.036;12.112;13
492;50.824;4.408;-1
493;49.006;12.1;13
494;52.544;13.374;-1
495;53.398;-1.514;86
496;52.944;9.098;50
497;51.912;4.494;31
498;51.01;3.632;36
499;48.546;9.896;-1
500;50.912;6.822;-1
501;48.13;11.63;12
502;48.83;9.162;0
503;51.91;8.352;41
504;50.902;5.412;32
505;51.652;7.25;-1
506;43.6;1.444;89
507;53.284;10.314;-1
508;47.06;15.472;59
509;51.388;6.764;18
510;51.472;6.466;-1
511;50.958;7.142;-1
512;44.792;20.482;77
513;54.178;19.434;76
514;45.436;4.39;67
515;52.198;20.908;72
516;52.272;9.58;-1
517;51.816;8.662;41
518;52.16;20.91;72
519;50.854;4.38;34
520;47.068;15.432;59
521;50.178;8.186;6
522;46.296;7.524;-1
523;52.22;20.982;72
524;52.304;20.99;72
525;51.106;7.164;-1
526;51.014;3.786;36
527;51.038;3.712;36
528;51.982;9.232;41
529;50.086;8.278;6
530;47.20527;10.897135;-1
531;48.532;8.026;-1
532;50.85;2.904;37
533;50.954;5.322;32
534;51.064;3.688;36
535;42.658;23.302;78
536;42.658;23.364;-1
537;42.672;23.316;79
538;42.178;26.578;-1
539;42.678;26.324;-1
540;52.392;13.406;-1
541;50.828;3.264;37
542;48.962;9.018;-1
543;49.881;8.48;4
544;50.942;4.028;-1
545;50.928;4.44;-1
546;50.578;17.878;-1
547;50.674;17.954;-1
548;53.364;-1.48;86
549;47.93;9.766;-1
550;52.24;20.942;72
551;50.701;13.091;54
552;51.452;8.964;41
553;53.108;18.326;75
554;52.486;13.518;-1
555;50.852;4.372;34
556;50.796;3.86;-1
557;52.274;10.532;43
558;52.168;20.878;72
559;48.724;9.104;-1
560;53.096;18.328;75
561;43.204;23.552;-1
562;42.702;23.314;-1
563;48.988;2.408;66
564;52.25;21.066;72
565;48.01;11.326;12
566;49.476;11.016;44
567;48.27;9.996;7
568;51.838;5.838;-1
569;51.738;6.532;-1
570;51.722;8.772;41
571;49.452;11.062;44
572;55.82;13.03;-1
573;50.83;6.524;-1
574;44.504;11.308;63
575;52.102;5.138;27
576;51.532;6.77;18
