;cluster;Latitude;Longitude
255;27;51.28;12.4
256;23;53.688;10.078
257;-1;50.544;9.642
258;25;49.59;11.03
259;-1;53.596;22.52
260;29;52.514;12.642
261;-1;52.578;8.138
262;-1;52.202;5.996
263;8;51.436;6.774
264;29;52.524;13.548
265;-1;53.102;18.034
266;-1;49.042;8.002
267;34;49.768;18.302
268;-1;49.136;10.366
269;23;53.57;9.964
270;37;52.102;20.614
271;23;53.73;10.01
272;-1;49.14;9.234
273;24;48.114;11.63
274;21;51.94;8.432
275;23;54.314;10.022
276;7;51.102;6.848
277;-1;52.314;7.938
278;29;52.502;13.354
279;23;53.566;9.98
280;21;52.219734;8.809229
281;29;52.46;13.322
282;-1;49.03;12.1
283;9;51.582;7.038
284;-1;51.724;23.09
285;-1;50.948;11.092
286;29;52.49;13.434
287;-1;50.754;3.366
288;23;53.59;10.004
289;19;53.198;6.592
290;1;49.012;8.37
291;-1;54.092;12.122
292;8;51.468;6.762
293;26;53.046;8.656
294;36;54.132;17.968
295;23;53.238;10.448
296;7;51.046;6.98
297;6;48.148;7.704
298;11;52.074;5.126
299;4;47.494;9.718
300;29;52.464;13.414
301;25;49.806;11.032
302;24;48.542;12.27
303;-1;49.142;9.232
304;-1;52.102;8.084
305;2;49.42;8.39
306;26;53.072;8.826
307;-1;50.956;9.786
308;-1;50.228;9.112
309;22;52.39;9.724
310;24;48.156;11.53
311;8;51.454;6.718
312;26;53.068;8.86
313;25;49.932;11.592
314;-1;54.818;9.666
315;-1;50.216;7.912
316;29;52.522;13.345
317;27;51.612;12.302
318;21;52.1769;8.829951
319;-1;51.020615;6.128022
320;27;50.81;12.54
321;-1;48.732;10.266
322;24;48.77;11.446
323;-1;50.406;6.884
324;-1;52.472;6.932
325;1;49.002;8.392
326;24;48.204;11.61
327;22;52.378;9.688
328;29;52.498;13.442
329;40;42.686;23.364
330;-1;42.338;23.552
331;41;42.204;24.686
332;-1;42.72;23.252
333;40;42.67;23.354
334;-1;42.736;23.346
335;-1;42.734;24.258
336;42;43.198;27.916
337;1;49.004;8.47
338;23;53.524;9.846
339;17;50.862;4.338
340;-1;44.646;10.924
341;-1;48.736;9.332
342;-1;48.272;14.526
343;26;53.32;8.672
344;-1;50.846;4.078
345;-1;51.882;6.916
346;17;50.868;4.18
347;16;50.922;4.76
348;17;50.832;4.374
349;-1;48.986;9.578
350;17;50.826;4.33
351;6;47.494;7.608
352;25;49.594;10.964
353;17;51.004;4.298
354;-1;48.762;8.996
355;17;50.86;4.376
356;17;50.86;4.376
357;29;52.754;13.04
358;16;50.956;4.64
359;-1;46.476;7.134
360;-1;47.942;9.442
361;-1;51.232;9.42
362;-1;41.978;21.476
363;2;49.43;8.642
364;25;49.468;11.044
365;-1;51.518;9.864
366;17;50.742;4.224
367;17;50.742;4.226
368;22;52.198;9.89
369;-1;48.132;8.518
370;-1;50.154;8.198
371;27;50.85;12.928
372;11;52.124;5.196
373;11;52.124;5.196
374;34;49.968;19.844
375;23;53.476;9.318
376;43;52.138;-0.45
377;-1;49.012;12.112
378;-1;50.664;4.564
379;-1;51.582;5.016
380;23;53.686;9.158
381;-1;51.528;7.653
382;-1;50.072;9.002
383;-1;51.566;9.234
384;-1;36.536;23.064
385;-1;50.674;4.616
386;5;47.504;8.248
387;-1;48.854;9.302
388;29;52.532;13.328
389;-1;45.818;12.896
390;0;48.764;9.172
391;-1;52.928;10.522
392;32;48.176;16.316
393;37;52.206;20.964
394;7;50.936;6.978
395;29;52.508;13.236
396;3;50.124;8.582
397;23;53.556;9.868
398;29;52.502;13.496
399;-1;51.523;7.524
400;7;51.092;6.828
401;-1;48.524;9.04
402;1;49.084;8.646
403;27;50.854;12.902
404;26;53.184;8.218
405;11;52.02;5.188
406;-1;49.242;7.006
407;2;49.542;8.444
408;23;53.636;10.012
409;29;52.548;13.408
410;24;48.154;11.514
411;29;52.532;13.348
412;36;54.4;18.412
413;-1;48.398;10.698
414;18;51.218;3.452
415;27;51.458;12.454
416;25;50.288;10.924
417;0;48.727;9.3
418;29;52.492;13.388
419;26;53.096;8.802
420;-1;51.83;7.294
421;-1;48.0;9.654
422;-1;51.976;7.594
423;26;52.968;8.844
424;41;42.066;24.742
425;-1;42.6;23.398
426;-1;43.206;23.55
427;29;52.532;13.399
428;-1;43.2;23.55
429;-1;50.966;5.814
430;19;53.198;6.57
431;-1;42.702;23.314
432;16;50.976;4.542
433;-1;52.032;5.298
434;29;52.538;13.4
435;37;52.472;21.028
436;-1;49.054;9.348
437;36;54.514;18.532
438;27;51.356;12.458
439;23;53.734;10.282
440;1;48.878;8.34
441;-1;51.276;7.116
442;25;49.314;10.748
