cluster_dim;cluster_centroids_lat;cluster_centroids_lon
0;48.783974;9.18002
1;48.998978;8.396522
2;49.454678;8.606431
3;50.03345;8.626285
4;47.556805;9.468429
5;47.39993;8.47526
6;47.90463;7.7864194
7;50.98789;6.967733
8;51.37224;6.7494016
9;51.48528;7.1020126
10;51.565556;5.45698
11;52.120438;5.179201
12;52.10672;5.479695
13;51.95495;5.9138618
14;52.046173;4.542735
15;50.914543;5.29894
16;50.894543;4.6921387
17;50.861885;4.3520274
18;51.048492;3.6915915
19;53.040634;6.591876
20;53.122677;5.840466
21;52.002724;8.66525
22;52.28242;10.100854
23;53.628136;10.060592
24;48.18078;11.503417
25;49.56267;11.026309
26;53.120453;8.594884
27;51.16243;12.342187
28;51.056004;13.767813
29;52.517834;13.410051
30;45.28943;9.708052
31;47.077152;15.454508
32;48.182922;16.441355
33;47.46813;19.08712
34;50.234497;19.176588
35;51.46938;16.995356
36;54.12189;18.866207
37;52.15764;21.024658
38;44.679337;20.21691
39;45.52524;5.5418277
40;42.687187;23.345673
41;42.233536;24.89895
42;43.131424;27.774782
43;51.352333;-0.196597
44;53.27572;-1.5890031
45;48.068996;-2.1958468
46;42.925438;1.540721
47;59.40892;17.802235
48;55.779377;37.91606
